,word,count,pages,contexts,chapters
0,farewell,2,{1},"['a farewell to arms by ', 'ernest hemingway a farewell to arms to ']",{0}
1,arms,14,"{224, 1, 194, 225, 267, 211, 52, 53, 55, 56, 158}","['a farewell to arms by ernest hemingway ', 'a farewell to arms to g.a pfeiffer ', 'man under the arms and by the ', 'lifted it to arms length and the ', 'along with my arms and elbows passini ', 'me under the arms and somebody else ', 'musettes and my arms around the other ', 'held both his arms old baby he ', 'were in my arms and i in ', 'small and his arms were by his ', 'rested again my arms around some brush ', 'i slapped my arms to keep the ', 'head on my arms my knee was ', 'of rowing my arms and shoulders and ']","{0, 36, 9, 24, 28, 30}"
2,ernest,1,{1},['to arms by ernest hemingway a farewell '],{0}
3,hemingway,1,{1},['arms by ernest hemingway a farewell to '],{0}
4,g.a,1,set(),['to arms to g.a pfeiffer book one '],set()
5,pfeiffer,1,{1},['arms to g.a pfeiffer book one in '],{0}
6,book,7,"{1, 231, 79, 281, 159}","['to g.a pfeiffer book one in the ', 'filthy and vile book said the priest ', 'jerk and started book two we got ', 'was always crowded book three now in ', 'were many places book four i dropped ', 'into the hotel book five that fall ', 'religion in a book she said she ']","{0, 24, 32, 37}"
7,one,319,"{1, 4, 5, 6, 7, 8, 12, 13, 15, 16, 17, 19, 21, 23, 24, 25, 28, 29, 41, 44, 47, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 63, 64, 65, 66, 68, 69, 70, 74, 81, 83, 88, 90, 94, 95, 100, 102, 104, 112, 114, 115, 117, 118, 120, 121, 123, 126, 127, 128, 129, 130, 132, 133, 134, 137, 138, 142, 146, 148, 149, 151, 152, 155, 157, 158, 163, 167, 170, 175, 176, 179, 180, 184, 185, 191, 192, 194, 195, 196, 197, 198, 200, 201, 204, 206, 207, 208, 211, 212, 213, 214, 215, 217, 218, 219, 221, 222, 224, 225, 226, 229, 230, 233, 234, 235, 239, 240, 241, 244, 248, 249, 251, 253, 255, 256, 257, 259, 261, 264, 279, 280, 284, 285, 286, 287, 288, 289, 290, 292, 293, 300, 301, 302, 303, 305, 306, 308, 309, 310, 311, 312, 316, 317, 322, 323, 324}","['g.a pfeiffer book one in the late ', 'even and if one of the officers ', 'two bawdy houses one for troops and ', 'for troops and one for officers and ', 'torn up and one day at the ', 'course which every one ate very quickly ', 'night five against one every one at ', 'against one every one at the table ', 'night five against one he made a ', 'noble organization some one came in and ', 'little finger every one laughed look said ', 'priest five against one they all laughed ', 'every week some one gets wounded by ', 'to explain how one thing had led ', 'were working on one out in the ', 'battery i asked one of the mechanics ', 'its no good one thing after another ', 'out it was one of those things ', 'ever loved any one no i said ', 'rarely find any one any good this ', 'the little scotch one is very nice ', 'there was only one road leading down ', 'i knew in one of the dugouts ', 'hard but no one trusts us why ', 'cemetery there was one fine cemetery though ', 'cemetery though the one at pisa genoa ', 'evacuated i wore one when we went ', 'did not have one worn in plain ', 'wore a real one and felt like ', 'come down some one was coming down ', 'yes i have one his right hand ', 'found him some one probably got it ', 'got it at one of the dressing ', 'bank there was one smashed bridge across ', 'the tenth men one of those shot ', 'finish it if one side stopped fighting ', 'cant hang every one an outside nation ', 'austrians stop fighting one side must stop ', 'was the quietest one of the four ', 'on a box one of the medical ', 'beside the entrance one of the two ', 'then there was one that we did ', 'to me some one saying mama mia ', 'above the knee one leg was gone ', 'passini had only one leg i unwound ', 'left three some one took hold of ', 'others i said one is dead its ', 'they brought some one in or out ', 'were off to one side the doctors ', 'sitting up beside one of the brick ', 'on each ambulance one of their drivers ', 'two drivers yes one killed and the ', 'some italians with one of our units ', 'the american tenente one of the captains ', 'hes an american one of the other ', 'the itching when one of the doctors ', 'ever it is one for the lancet ', 'were back no one to come in ', 'from adventures no one to make fun ', 'fun of no one to lend me ', 'there is only one difference between taking ', 'on when some one was brought in ', 'and stopped some one was with him ', 'i held up one of the sheaf ', 'we looked at one another sometimes we ', 'by if any one were going to ', 'again carrying the one who was dead ', 'beds and some one folded the screen ', 'the doors no one came then the ', 'lake como no one knew there was ', 'no theres no one by that name ', 'wasnt expecting any one while we were ', 'and then some one coming on rubber ', 'he was funny one move from you ', 'i heard some one coming down the ', 'never seen any one so beautiful hello ', 'there was no one then she sat ', 'love with any one but god knows ', 'tendency to seek one anothers company and ', 'doctor handed him one of the plates ', 'he pointed to one of the foreign ', 'some time only one thing i can ', 'alcohol just have one i rang for ', 'night about some one coming up but ', 'dont want any one else to touch ', 'stayed with any one thats right were ', 'belonged to any one else but i ', 'back to capri one evening i was ', 'really i know one night we talked ', 'darling i had one experience of waiting ', 'dont love any one but you you ', 'mind because some one else loved me ', 'jealous of some one whos dead when ', 'for luck some one gave it to ', 'me for some one else no darling ', 'you for some one else i suppose ', 'did love some one else before and ', 'was whipping any one on the western ', 'you for some one else i will ', 'you too youre one of my boys ', 'drink with them one of the singers ', 'papers on only one have come through ', 'shoulder you got one too ettore said ', 'you only get one for a wound ', 'simmons a hand-grenade one of those potato ', 'was the only one he had ettore ', 'wanted to throw one he never saw ', 'who bored every one he met catherine ', 'her dear boy one of them you ', 'kept on raining one day in the ', 'had been hurt one was hurt badly ', 'they went around one after the other ', 'grooms leading them one horse a purplish ', 'a race worth one thousand lire or ', 'him and pooled one hundred lire the ', 'pay thirty-five to one crowell went over ', 'hes thirty-five to one we liked his ', 'marked thirty-five to one in the quotes ', 'pay two to one then we wont ', 'little while no one could sit down ', 'yes but some one else would if ', 'we could have one out here and ', 'italians had lost one hundred and fifty ', 'sitting back in one of the big ', 'his head on one side the girls ', 'were nice-looking girls one of them worked ', 'letters an official one and some others ', 'as when some one comes into a ', 'even loved any one and ive tried ', 'are the same one and we mustnt ', 'arent the same one we wont fight ', 'the brave but one of course who ', 'dont really want one take one all ', 'want one take one all right i ', 'did not go one day while i ', 'send for some one to take them ', 'the shadow of one of the stone ', 'riding boots on one side and the ', 'i try this one i asked the ', 'that was the one thing i had ', 'to do some one got my other ', 'got my other one going to the ', 'there was some one in it the ', 'tram catherine said one will be along ', 'by here here one comes she said ', 'night-gown well get one i said and ', 'saw herself in one of the mirrors ', 'to feel like one her voice was ', 'simple girl no one ever understood it ', 'with his friends one had so many ', 'train and every one was hostile the ', 'sit down some one tapped me on ', 'and shiny every one in the compartment ', 'the glass no one in the compartment ', 'seat still no one said anything oh ', 'my head on one of the musettes ', 'the bed with one shoe off so ', 'were all in one corner of the ', 'two other things one is bad for ', 'rinaldi hes the one who makes all ', 'this summer no one the austrians won ', 'same thing no one ever stopped when ', 'has to be one or the other ', 'boy and every one seemed to like ', 'guns at once one right after the ', 'he showed me one a smoothly jagged ', 'you pinched off one mountain and they ', 'really started every one had to get ', 'it can lose one we wont talk ', 'he was born one he left with ', 'that are attacking one of the medical ', 'of the others one smiled at us ', 'guns were in one wide slow-moving column ', 'anybody a ride one of the sergeants ', 'together the older one who had been ', 'cities when every one was awake it ', 'in it every one was caught in ', 'did not want one that would lead ', 'we must find one if we hoped ', 'get through no one knew where the ', 'to have some one that could push ', 'at the well one of the sergeants ', 'we should go one of the sergeants ', 'know the road one of them asked ', 'start the first one said we are ', 'have to go one said get busy ', 'have to go one said the other ', 'i said the one sergeant turned we ', 'aimed at the one who had talked ', 'times and dropped one the other went ', 'hit the other one at all i ', 'never mind thats one thing i can ', 'the bridge no one was in sight ', 'nothing and no one but the wet ', 'blow up with one man you see ', 'the embankment come one at a time ', 'another dozen then one alone they did ', 'well as any one i ever knew ', 'but that some one would fire on ', 'in the roof one was blocked with ', 'we heard any one it seemed like ', 'it that was one of those things ', 'war it was one of the things ', 'not know any one who went over ', 'gone now and one year they had ', 'drinking out of one of the bottles ', 'any danger no one had bothered us ', 'di pace some one shouted peace brigade ', 'prisoner that is one reason are you ', 'the jam no one was talking they ', 'them i saw one of the officers ', 'were scrutinizing every one in the column ', 'they took some one else out just ', 'opposite i saw one or two of ', 'at me then one pointed at me ', 'his cheek another one dove in toward ', 'officer the other one grabbed me from ', 'and the other one grabbed me around ', 'i heard some one say whats the ', 'instead of having one of these airplanes ', 'a little to one side of us ', 'officers spoke together one wrote something on ', 'were questioning some one else this officer ', 'were taken out one at a time ', 'had shot every one they had questioned ', 'held on with one hand i kept ', 'held it with one hand i looked ', 'tried holding with one arm and kicking ', 'and holding with one hand i drew ', 'i saw no one i lay flat ', 'had seen no one and i sat ', 'the train the one i had seen ', 'up hoping for one i saw a ', 'not think any one had seen me ', 'you loved some one else whom now ', 'been present when one army moved back ', 'had it any one would worry i ', 'me where does one stay in the ', 'not necessary have one he poured the ', 'me tell you one thing do not ', 'not tell any one you have seen ', 'wont tell any one the porter said ', 'will tell no one he said i ', 'address of simmons one of the men ', 'there was no one the season had ', 'time and no one met the train ', 'there is no one here i dont ', 'where they are one of them is ', 'there really any one at all yes ', 'the table no one got me in ', 'find the other one there and not ', 'woke the other one woke too so ', 'woke too so one was not alone ', 'world breaks every one and afterward many ', 'i sat in one of them and ', 'living to be one hundred years old ', 'is here no one you know there ', 'my teeth and one struck and nearly ', 'the afternoon some one knocked on our ', 'all came on one side it was ', 'want to know one it is easier ', 'must miss them one misses ones countrymen ', 'the barman open one bottle please he ', 'greffi made his one hundredth point and ', 'a finger as one breaks a stick ', 'value most some one i love with ', 'open window some one had knocked on ', 'dont want any one to see me ', 'oars then waved one hand the barman ', 'of a hotel one of the officials ', 'the hotel some one came out to ', 'was from only one cause and i ', 'games of some one elses college but ', 'not know any one in montreux we ', 'go before any one and be married ', 'know i know one thing im not ', 'wedding with every one thinking what a ', 'right ill drink one more beer first ', 'christmas we woke one morning and it ', 'on and eat one i said ill ', 'said ill take one with filberts catherine ', 'right ill grow one ill start now ', 'just alike only one of us blonde ', 'us blonde and one of us dark ', 'were the same one i know it ', 'snowing hard outside one time in the ', 'never see any one you dont want ', 'with the little one yes if you ', 'put the little one and the nurse ', 'the lake on one side and on ', 'to offend any one i dont then ', 'soda theres another one coming she said ', 'bring soup for one thank you sir ', 'pleasant it was one of the pleasant ', 'any time together one morning i awoke ', 'a taxi no one answered the phone ', 'there was no one downstairs except the ', 'was a big one catherine said i ', 'was a real one do you want ', 'was nosing at one of the cans ', 'nurse was on one side and the ', 'a tube in one hand i will ', 'a very big one i had a ', 'a very big one a while ago ', 'was a big one she said that ', 'a very big one dont you worry ', 'easily now theres one she reached out ', 'i said there one comes catherine said ', 'the café at one table they were ', 'i knocked no one answered so i ', 'a very big one catherine said her ', 'elevator where every one had to crowd ', 'do some good one of the doctors ', 'its a caesarean one said theyre going ', 'caesarean the other one laughed were just ', 'the tables knew one another there were ', 'around but no one was leaving so ', 'priest or any one to come and ', 'seems she had one hemorrhage after another ']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}"
8,late,18,"{290, 3, 109, 303, 17, 116, 182, 28, 253, 287}","['one in the late summer of that ', 'back in town late in the afternoon ', 'it was too late and i did ', 'said it is late its not late ', 'late its not late how is the ', 'about me sleeping late in the mornings ', 'the races and late to the mechanotherapy ', 'into mine im late darling she said ', 'it is too late you saw the ', 'major said youre late good-evening priest rinaldi ', 'gray and wet late in the afternoon ', 'she said along late in the afternoon ', 'it is too late perhaps i have ', 'snow came very late we lived in ', 'stay up very late we went to ', 'it was too late to start if ', 'snow is very late this year yes ', 'while catherine stayed late in bed on ']","{1, 35, 4, 37, 6, 38, 39, 17, 18, 27}"
9,summer,19,"{162, 3, 132, 164, 6, 73, 242, 116, 117, 181}","['in the late summer of that year ', 'it was like summer lightning but the ', 'end of the summer the cool nights ', 'green in the summer when we had ', 'very well last summer they may crack ', 'would finish this summer maybe the austrians ', 'cool in the summer at night and ', 'lovely time that summer when i could ', 'patients first the summer went that way ', 'was a hot summer and i knew ', 'we knew the summer was gone the ', 'been a bad summer the major said ', 'has had a summer and fall of ', 'tell me all summer and all fall ', 'been a terrible summer said the priest ', 'the war this summer officers whom i ', 'the fighting this summer no one the ', 'been done this summer can not have ', 'love affair all summer and got this ']","{1, 2, 33, 11, 18, 19, 20, 24, 25, 27}"
