,0,1
0,farewell,2
1,arms,13
2,ernest,1
3,hemingway,1
4,g.a,1
5,pfeiffer,1
6,book,7
7,one,323
8,late,18
9,summer,19
10,year,23
11,lived,17
12,house,42
13,village,10
14,looked,232
15,across,83
16,river,65
17,plain,24
18,mountains,62
19,bed,139
20,pebbles,2
21,boulders,1
22,dry,16
23,white,37
24,sun,26
25,water,68
26,clear,27
27,swiftly,5
28,moving,16
29,blue,5
30,channels,3
31,troops,29
32,went,372
33,road,171
34,dust,11
35,raised,2
36,powdered,1
37,leaves,12
38,trees,62
39,trunks,3
40,dusty,6
41,fell,11
42,early,22
43,saw,135
44,marching,5
45,along,113
46,rising,6
47,stirred,1
48,breeze,5
49,falling,17
50,soldiers,11
51,afterward,24
52,bare,21
53,except,32
54,rich,2
55,crops,1
56,many,89
57,orchards,1
58,fruit,1
59,beyond,42
60,brown,13
61,fighting,24
62,night,114
63,could,292
64,see,273
65,flashes,3
66,artillery,7
67,dark,91
68,like,221
69,lightning,1
70,nights,13
71,cool,16
72,feeling,27
73,storm,9
74,coming,69
75,sometimes,51
76,heard,63
77,window,71
78,guns,25
79,going,159
80,past,22
81,pulled,44
82,motor-tractors,1
83,much,129
84,traffic,6
85,mules,5
86,roads,19
87,boxes,4
88,ammunition,1
89,side,99
90,pack,5
91,saddles,1
92,gray,24
93,motor,15
94,trucks,13
95,carried,22
96,men,55
97,loads,1
98,covered,12
99,canvas,18
100,moved,19
101,slower,2
102,big,81
103,passed,32
104,day,48
105,drawn,3
106,tractors,2
107,long,128
108,barrels,1
109,green,10
110,branches,10
111,leafy,1
112,vines,5
113,laid,7
114,north,26
115,look,58
116,valley,13
117,forest,12
118,chestnut,5
119,behind,39
120,another,81
121,mountain,35
122,successful,5
123,fall,24
124,rains,3
125,came,250
126,black,18
127,rain,105
128,vineyards,4
129,thin,24
130,bare-branched,1
131,country,44
132,wet,56
133,dead,33
134,autumn,2
135,mists,1
136,clouds,9
137,splashed,2
138,mud,11
139,muddy,13
140,capes,5
141,rifles,7
142,two,166
143,leather,13
144,cartridge-boxes,1
145,front,78
146,belts,2
147,heavy,9
148,packs,2
149,clips,4
150,6.5,1
151,mm,1
152,cartridges,4
153,bulged,1
154,forward,20
155,passing,12
156,marched,2
157,though,35
158,six,15
159,months,18
160,gone,64
161,child,13
162,small,42
163,cars,53
164,fast,23
165,usually,10
166,officer,25
167,seat,29
168,driver,28
169,officers,41
