word,count,contexts
0,0,
1,0,a farewell to arms by 
2,0,
3,0,a farewell to arms by ernest hemingway 
4,0,
5,0,to arms by ernest hemingway a farewell 
6,0,arms by ernest hemingway a farewell to 
7,0,
8,0,ernest hemingway a farewell to arms to 
9,0,
10,0,a farewell to arms to g.a pfeiffer 
11,0,
12,0,to arms to g.a pfeiffer book one 
13,0,arms to g.a pfeiffer book one in 
14,0,to g.a pfeiffer book one in the 
15,0,g.a pfeiffer book one in the late 
16,0,
17,0,
18,0,one in the late summer of that 
19,0,in the late summer of that year 
20,0,
21,0,
22,0,summer of that year we lived in 
23,0,
24,0,that year we lived in a house 
25,0,
26,0,
27,0,lived in a house in a village 
28,0,
29,0,
30,0,house in a village that looked across 
31,0,
32,0,a village that looked across the river 
33,0,village that looked across the river and 
34,0,
35,0,looked across the river and the plain 
36,0,
37,0,
38,0,river and the plain to the mountains 
39,0,
40,0,
41,0,plain to the mountains in the bed 
42,0,
43,0,
44,0,mountains in the bed of the river 
45,0,
46,0,
47,0,bed of the river there were pebbles 
48,0,
49,0,
50,0,river there were pebbles and boulders dry 
51,0,
52,0,were pebbles and boulders dry and white 
53,0,pebbles and boulders dry and white in 
54,0,
55,0,boulders dry and white in the sun 
56,0,
57,0,
58,0,white in the sun and the water 
59,0,
60,0,
61,0,sun and the water was clear and 
62,0,
63,0,the water was clear and swiftly moving 
64,0,
65,0,was clear and swiftly moving and blue 
66,0,clear and swiftly moving and blue in 
67,0,
68,0,swiftly moving and blue in the channels 
69,0,
70,0,
71,0,blue in the channels troops went by 
72,0,in the channels troops went by the 
73,0,the channels troops went by the house 
74,0,
75,0,
76,0,went by the house and down the 
77,0,
78,0,
79,0,
80,0,and down the road and the dust 
81,0,
82,0,
83,0,road and the dust they raised powdered 
84,0,
85,0,the dust they raised powdered the leaves 
86,0,dust they raised powdered the leaves of 
87,0,
88,0,raised powdered the leaves of the trees 
89,0,
90,0,
91,0,leaves of the trees the trunks of 
92,0,
93,0,the trees the trunks of the trees 
94,0,
95,0,
96,0,trunks of the trees too were dusty 
97,0,
98,0,
99,0,trees too were dusty and the leaves 
100,0,
101,0,
102,0,dusty and the leaves fell early that 
103,0,and the leaves fell early that year 
104,0,the leaves fell early that year and 
105,0,
106,0,fell early that year and we saw 
107,0,
108,0,
109,0,year and we saw the troops marching 
110,0,
111,0,we saw the troops marching along the 
112,0,saw the troops marching along the road 
113,0,the troops marching along the road and 
114,0,
115,0,marching along the road and the dust 
116,0,
117,0,
118,0,road and the dust rising and leaves 
119,0,and the dust rising and leaves stirred 
120,0,
121,0,dust rising and leaves stirred by the 
122,0,rising and leaves stirred by the breeze 
123,0,
124,0,
125,0,stirred by the breeze falling and the 
126,0,by the breeze falling and the soldiers 
127,0,
128,0,
129,0,falling and the soldiers marching and afterward 
130,0,and the soldiers marching and afterward the 
131,0,
132,0,soldiers marching and afterward the road bare 
133,0,
134,0,and afterward the road bare and white 
135,0,afterward the road bare and white except 
136,0,
137,0,road bare and white except for the 
138,0,bare and white except for the leaves 
139,0,
140,0,
141,0,except for the leaves the plain was 
142,0,
143,0,the leaves the plain was rich with 
144,0,
145,0,the plain was rich with crops there 
146,0,
147,0,was rich with crops there were many 
148,0,
149,0,
150,0,crops there were many orchards of fruit 
151,0,there were many orchards of fruit trees 
152,0,
153,0,many orchards of fruit trees and beyond 
154,0,orchards of fruit trees and beyond the 
155,0,
156,0,fruit trees and beyond the plain the 
157,0,
158,0,and beyond the plain the mountains were 
159,0,
160,0,the plain the mountains were brown and 
161,0,
162,0,the mountains were brown and bare there 
163,0,
164,0,were brown and bare there was fighting 
165,0,
166,0,
167,0,bare there was fighting in the mountains 
168,0,
169,0,
170,0,fighting in the mountains and at night 
171,0,
172,0,
173,0,mountains and at night we could see 
174,0,
175,0,at night we could see the flashes 
176,0,night we could see the flashes from 
177,0,
178,0,could see the flashes from the artillery 
179,0,
180,0,
181,0,flashes from the artillery in the dark 
182,0,
183,0,
184,0,artillery in the dark it was like 
185,0,
186,0,
187,0,dark it was like summer lightning but 
188,0,it was like summer lightning but the 
189,0,was like summer lightning but the nights 
190,0,like summer lightning but the nights were 
191,0,
192,0,lightning but the nights were cool and 
193,0,
194,0,the nights were cool and there was 
195,0,
196,0,
197,0,
198,0,
199,0,
200,0,was not the feeling of a storm 
201,0,
202,0,
203,0,feeling of a storm coming sometimes in 
204,0,of a storm coming sometimes in the 
205,0,a storm coming sometimes in the dark 
206,0,
207,0,
208,0,sometimes in the dark we heard the 
209,0,
210,0,the dark we heard the troops marching 
211,0,
212,0,we heard the troops marching under the 
213,0,heard the troops marching under the window 
214,0,
215,0,
216,0,marching under the window and guns going 
217,0,
218,0,the window and guns going past pulled 
219,0,window and guns going past pulled by 
220,0,and guns going past pulled by motor-tractors 
221,0,guns going past pulled by motor-tractors there 
